index,title,genres,cast,keywords,director
3054,Over Her Dead Body,Comedy,Eva Longoria Jason Biggs Lake Bell Paul Rudd Lindsay Sloane,diary romantic comedy death of lover spirit death by accident,Jeff Lowell
3055,Seeking a Friend for the End of the World,Comedy Drama Romance Science Fiction,Steve Carell Keira Knightley Connie Britton Adam Brody Rob Corddry,asteroid road trip end of the world woman director,Lorene Scafaria
3056,Cedar Rapids,Comedy,Anne Heche Ed Helms Sigourney Weaver John C. Reilly Rob Corddry,hotel infidelity one-night stand friendship swimming pool,Miguel Arteta
3057,American History X,Drama,Edward Norton Edward Furlong Beverly D'Angelo Avery Brooks Jennifer Lien,usa neo-nazi prison skinhead brother brother relationship,Tony Kaye
3058,The Collection,Horror Thriller,Josh Stewart Christopher McDonald Emma Fitzpatrick Lee Tergesen Erin Way,mercenary party sequel gore escape,Marcus Dunstan
3059,Teacher's Pet,Animation Drama Family Music,Nathan Lane Kelsey Grammer Shaun Fleming Debra Jo Rupp David Ogden Stiers,,Timothy Bjorklund
3060,The Red Violin,Drama Thriller Mystery Music Romance,Carlo Cecchi Irene Grazioli Anita Laurenzi Tommaso Puntelli Samuele Amighetti,auction violin,Fran\u00e7ois Girard
3061,The Straight Story,Drama,Richard Farnsworth Sissy Spacek Jane Galloway Heitz Joseph A. Carpenter Donald Wiegert,brother brother relationship mississippi wisconsin lawnmower iowa,David Lynch
3062,Deuces Wild,Action Crime Drama Romance,Stephen Dorff Fairuza Balk Brad Renfro Norman Reedus Max Perlich,gang new york city drug overdose,Scott Kalvert
3063,Bad Words,Comedy,Jason Bateman Kathryn Hahn Rohan Chand Philip Baker Hall Allison Janney,competition satire spelling bee estranged father unlikely friendship,Jason Bateman
3064,"Run, Fatboy, Run",Comedy Romance,Simon Pegg Thandie Newton Hank Azaria Dylan Moran Harish Patel,father son relationship new love fianc\u00e9 training rent,David Schwimmer
3065,Heartbeeps,Comedy Romance Family,Andy Kaufman Bernadette Peters Randy Quaid Kenneth McMillan Melanie Mayron,servant future chase lovers outlaw,Allan Arkush
3066,Black or White,Drama,Kevin Costner Jillian Estell Jennifer Ehle Gillian Jacobs Octavia Spencer,grieving widower widower,Mike Binder
3067,On the Line,Comedy Family Romance,Lance Bass Joey Fatone Emmanuelle Chriqui James Bulliard Al Green,,Eric Bross
3068,Rescue Dawn,Adventure Drama War,Christian Bale Steve Zahn Marshall Bell Toby Huss Pat Healy,war crimes violence laotian soldier pipe smoking rice paddy,Werner Herzog
3069,Danny Collins,Comedy Drama Music,Al Pacino Annette Bening Jennifer Garner Bobby Cannavale Christopher Plummer,rock star middle age,Dan Fogelman
3070,"Jeff, Who Lives at Home",Drama Comedy,Jason Segel Ed Helms Susan Sarandon Judy Greer Rae Dawn Chong,slacker basement destiny glue stoner,Jay Duplass
3071,I Am Love,Drama Romance,Tilda Swinton Flavio Parenti Edoardo Gabbriellini Alba Rohrwacher Gabriele Ferzetti,adultery restaurant textile industry male friendship bourgeoisie,Luca Guadagnino
3072,Atlas Shrugged Part II,Drama Science Fiction Mystery,Samantha Mathis Jason Beghe Esai Morales Patrick Fabian Kim Rhodes,ayn rand,John Putch
3073,Romeo Is Bleeding,Action Crime Drama Thriller,Gary Oldman Lena Olin Annabella Sciorra Juliette Lewis Roy Scheider,police operation sex addiction police mafia boss suspense,Peter Medak
3074,The Limey,Action Crime Drama Mystery Thriller,Terence Stamp Lesley Ann Warren Luis Guzm\u00e1n Barry Newman Joe Dallesandro,prison release from prison suitcase record producer investigation,Steven Soderbergh
3075,Crash,Drama,Sandra Bullock Don Cheadle Matt Dillon Michael Pe\u00f1a Jennifer Esposito,race politics daughter installer police fall,Paul Haggis
3076,The House of Mirth,Drama Romance,Gillian Anderson Dan Aykroyd Eleanor Bron Terry Kinney Anthony LaPaglia,,Terence Davies
3077,Malone,Action Thriller,Burt Reynolds Cliff Robertson Kenneth McMillan Cynthia Gibb Scott Wilson,cia assassin,Harley Cokeliss
3078,Peaceful Warrior,Drama Romance,Scott Mechlowicz Nick Nolte Amy Smart Tim DeKay Ashton Holmes,,Victor Salva
3079,Bucky Larson: Born to Be a Star,Comedy,Nick Swardson Christina Ricci Stephen Dorff Don Johnson Ido Mosseri,porno star hollywood,Tom Brady
3080,Bamboozled,Comedy Drama,Damon Wayans Savion Glover Tommy Davidson Jada Pinkett Smith Michael Rapaport,,Spike Lee
3081,The Forest,Horror Thriller,Natalie Dormer Taylor Kinney Yukiyoshi Ozawa Eoin Macken Rina Takasaki,japan forest,Jason Zada
3082,Sphinx,Adventure Mystery Thriller,Lesley-Anne Down Frank Langella Maurice Ronet John Gielgud Vic Tablian,cairo based on novel egypt pyramid museum,Franklin J. Schaffner
3083,While We're Young,Comedy Drama Mystery,Ben Stiller Naomi Watts Adam Driver Amanda Seyfried Charles Grodin,father-in-law marriage documentary filmmaking hipster middle age,Noah Baumbach
3084,A Better Life,Drama,Demi\u00e1n Bichir Jos\u00e9 Juli\u00e1n Chelsea Rendon Dolores Heredia Joaqu\u00edn Cosio,california garden immigrant truck illegal immigrant,Chris Weitz
3085,Spider,Drama Mystery Thriller,Ralph Fiennes Miranda Richardson Gabriel Byrne Lynn Redgrave John Neville,secret asylum bed and breakfast place past psychopath,David Cronenberg
3086,Gun Shy,Action Comedy Romance Thriller,Sandra Bullock Liam Neeson Oliver Platt Jos\u00e9 Z\u00fa\u00f1iga Michael DeLorenzo,female nudity drug cartel nervous breakdown,Eric Blakeney
3087,Nicholas Nickleby,Adventure Drama Action Family,Charlie Hunnam Nathan Lane Jim Broadbent Christopher Plummer Jamie Bell,,Douglas McGrath
3088,The Iceman,Thriller Crime Drama,Michael Shannon Winona Ryder Ray Liotta Chris Evans David Schwimmer,new jersey restaurant hitman van arrest,Ariel Vromen
3089,Krrish,Action Science Fiction,Hrithik Roshan Naseeruddin Shah Priyanka Chopra Rekha Sharat Saxena,,Rakesh Roshan
3090,Cecil B. Demented,Thriller Comedy Crime,Melanie Griffith Stephen Dorff Alicia Witt Adrian Grenier Lawrence Gilliard Jr.,heroin blindfold bong perversion burned alive,John Waters
3091,Killer Joe,Crime Drama Thriller,Matthew McConaughey Emile Hirsch Thomas Haden Church Gina Gershon Juno Temple,trailer park gun texas deal psychopath,William Friedkin
3092,The Joneses,Comedy Drama,David Duchovny Demi Moore Amber Heard Benjamin Hollingsworth Lauren Hutton,independent film duringcreditsstinger,Derrick Borte
3093,Owning Mahowny,Crime Drama Thriller,Philip Seymour Hoffman Minnie Driver John Hurt Maury Chaykin Ian Tracey,female nudity gambling casino nudity banker,Richard Kwietniowski
3094,The Brothers Solomon,Comedy,Will Arnett Will Forte Kristen Wiig Chi McBride Lee Majors,brother brother relationship jealousy pregnancy and birth autoritian education arctic,Bob Odenkirk
3095,My Blueberry Nights,Drama Romance,Norah Jones Jude Law Natalie Portman David Strathairn Rachel Weisz,usa kaffeehaus poker lovesickness waitress,Wong Kar-wai
3096,Illuminata,Drama,John Turturro Christopher Walken Susan Sarandon Rufus Sewell Beverly D'Angelo,playwright critic theater,John Turturro
3097,Swept Away,Comedy Romance,Madonna Adriano Giannini Bruce Greenwood Elizabeth Banks Michael Beattie,adultery island shipwreck tropical island,Guy Ritchie
3098,"War, Inc.",Action Adventure Comedy Thriller,John Cusack Hilary Duff Marisa Tomei Joan Cusack Dan Aykroyd,hitman political satire,Joshua Seftel
3099,Shaolin Soccer,Action Comedy,Stephen Chow Ng Man-Tat Patrick Tse Yin Zhao Wei Wong Yat-Fei,martial arts stadium champion shaolin steel helmet,Stephen Chow
3100,The Brown Bunny,Drama,Vincent Gallo Chlo\u00eb Sevigny Cheryl Tiegs Elizabeth Blake Anna Vareschi,rape ambulance ex-girlfriend memory unsimulated sex,Vincent Gallo
3101,The Swindle,Comedy Crime Thriller,Michel Serrault Isabelle Huppert Fran\u00e7ois Cluzet Jean-Fran\u00e7ois Balmer,,Claude Chabrol
3102,Rosewater,Drama,Gael Garc\u00eda Bernal Shohreh Aghdashloo Jason Jones Haluk Bilginer Nasser Faris,prison biography reporter interrogation iran,Jon Stewart
3103,The Chambermaid on the Titanic,Drama,Olivier Martinez Aitana S\u00e1nchez-Gij\u00f3n Romane Bohringer Didier Bezace,,Bigas Luna
3104,Coriolanus,Drama Thriller,Gerard Butler Ralph Fiennes Lubna Azabal Ashraf Barhom Jessica Chastain,senate general market rivalry tragedy,Ralph Fiennes
3105,Imaginary Heroes,Comedy Drama,Sigourney Weaver Ryan Donowho Emile Hirsch Jeff Daniels Michelle Williams,suicide suicide mission,Dan Harris
3106,High Heels and Low Lifes,Action Crime Comedy,Minnie Driver Mary McCormack Kevin McNally Danny Dyer Michael Gambon,nurse blackmail teacher best friend bank robbery,Mel Smith
3107,World's Greatest Dad,Comedy Romance,Robin Williams Alexie Gilmore Daryl Sabara Geoff Pierson Henry Simmons,male nudity poetry adolescence lie nudity,Bobcat Goldthwait
3108,Severance,Horror Comedy Thriller,Danny Dyer Laura Harris Toby Stephens Tim McInnerny Babou Ceesay,will to survive killer forced retirement defence company jump the shark,Christopher Smith
3109,Edmond,Drama Thriller,William H. Macy Joe Mantegna Denise Richards Mena Suvari Bokeem Woodbine,new york sex-shop prostitute sex fortune teller,Stuart Gordon
3110,Welcome to the Rileys,Drama,Kristen Stewart James Gandolfini Melissa Leo Joe Chrest Ally Sheedy,prostitute rape stripper independent film teenage girl,Jake Scott
3111,Police Academy: Mission to Moscow,Comedy Crime,George Gaynes G. W. Bailey Leslie Easterbrook Michael Winslow David Graf,video game mafia police academy moscow commandant,Alan Metter
3112,Blood Done Sign My Name,Drama Crime,Natalie Alyn Lind Michael Rooker Emily Alyn Lind Omar Benson Miller Lee Norris,,Jeb Stuart
3113,Cinco de Mayo: La Batalla,War History Drama,Christian Vazquez Liz Gallardo Ang\u00e9lica Arag\u00f3n Kuno Becker Gin\u00e9s Garc\u00eda Mill\u00e1n,mexican,Rafa Lara
3114,Elsa & Fred,Comedy Family Romance,Shirley MacLaine Christopher Plummer Chris Noth Marcia Gay Harden Scott Bakula,widower,Michael Radford
3115,"An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,Jackie Chan Sylvester Stallone Whoopi Goldberg Eric Idle Ryan O'Neal,alan smithee,Alan Smithee
3116,The Open Road,Comedy Drama Romance,Justin Timberlake Jeff Bridges Kate Mara Harry Dean Stanton Mary Steenburgen,independent film,Michael Meredith
3117,The Good Guy,Comedy Romance,Alexis Bledel Colin Egglesfield Anna Chlumsky Andrew McCarthy Scott Porter,independent film,Julio DePietro
3118,Motherhood,Comedy Drama,Uma Thurman Minnie Driver Anthony Edwards David Schallipp Matthew Schallipp,mother role blog woman director,Katherine Dieckmann
3119,Free Style,Drama Family,Corbin Bleu Sandra Echeverr\u00eda Madison Pettis,duringcreditsstinger,William Dear
3120,Strangerland,Drama Thriller,Nicole Kidman Joseph Fiennes Hugo Weaving Lisa Flanagan Megan Alston,australia missing child outback alcoholic drink troubled marriage,Kim Farrant
3121,Janky Promoters,Comedy,Ice Cube Mike Epps Young Jeezy Darris Love Julio Oscar Mechoso,,Marcus Raboy
3122,Blonde Ambition,Comedy Romance,Jessica Simpson Luke Wilson Rachael Leigh Cook Penelope Ann Miller Andy Dick,stripper friends best friend,Scott Marshall Smith
3123,The Oxford Murders,Crime Mystery Thriller,Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter,mathematician mathematics oxford symbol triangle,\u00c1lex de la Iglesia
3124,The Reef,Drama Horror Thriller,Adrienne Pickering Zoe Naylor Gyton Grantley Damian Walshe-Howling Kieran Darcy-Smith,boat boat accident underwater shark great white shark,Andrew Traucki
3125,Eulogy,Comedy Drama,Hank Azaria Jesse Bradford Zooey Deschanel Glenne Headly Famke Janssen,family secrets dysfunctional family independent film death in family family conflict,Michael Clancy
3126,White Noise 2: The Light,Thriller Drama Horror Fantasy,Nathan Fillion Katee Sackhoff Craig Fairbrass Adrian Holmes Teryl Rothery,suicide murder,Patrick Lussier
3127,Beat the World,Music Drama,Tyrone Brown Mishael Morgan Nikki Grant Chase Armitage Ray Johnson,sporting event,Robert Adetuyi
3128,Fifty Dead Men Walking,Action Thriller,Ben Kingsley Jim Sturgess Kevin Zegers Rose McGowan Tom Collins,ira slot machine riot police woman director,Kari Skogland
3129,Jungle Shuffle,Family Animation Adventure,Drake Bell Rob Schneider Brianne Siddall Joey D'Auria Jessica DiCicco,poacher jungle,Taedong Park
3130,Adam Resurrected,Drama War,Jeff Goldblum Willem Dafoe Derek Jacobi Ayelet Zurer Hana Laslo,holocaust nazis israeli,Paul Schrader
3131,Of Horses and Men,Drama Romance Comedy,Ingvar Eggert Sigur\u00f0sson Charlotte B\u00f8ving Steinn \u00c1rmann Magn\u00fasson Kristbj\u00f6rg Kjeld Helgi Bj\u00f6rnsson,horse snow storm icelandic,Benedikt Erlingsson
3132,It's a Wonderful Afterlife,Comedy Romance,Shabana Azmi Goldy Notay Sendhil Ramamurthy Sally Hawkins Mark Addy,london england indian lead murder matchmaking ghost,Gurinder Chadha
3133,The Devil's Tomb,Action Horror Thriller Science Fiction,Cuba Gooding Jr. Ray Winstone Ron Perlman Taryn Manning Stephanie Jacobsen,duct tape gag bandana headshot camoflage uniform sadistic laughter,Jason Connery
3134,Partition,Drama Foreign Romance,Kristin Kreuk Jimi Mistry Neve Campbell John Light Irrfan Khan,drama independent film,Vic Sarin
3135,Good Intentions,Comedy,Luke Perry LeAnn Rimes Jimmi Simpson,independent film,Jim Issa
3136,"The Good, The Bad, The Weird",Action Adventure Comedy Western,Song Kang-ho Lee Byung-hun Jung Woo-sung Yoon Je-moon Song Young-chang,gunslinger gun,Kim Jee-woon
3137,Nurse 3-D,Horror Thriller,Paz de la Huerta Katrina Bowden Kathleen Turner Judd Nelson Boris Kodjoe,nurse sexual murder revenge lesbian relationship dark comedy,Douglas Aarniokoski
3138,Gunless,Drama Action Comedy Western,Sienna Guillory Tyler Mane Callum Keith Rennie Dustin Milligan Graham Greene,gunslinger bounty hunter blacksmith duel wild west,William Phillips
3139,Adventureland,Comedy,Jesse Eisenberg Kristen Stewart Martin Starr Kristen Wiig Bill Hader,comedy cheating on partner amusement park summer job carny,Greg Mottola
3140,The Lost City,Drama Romance,Andy Garc\u00eda Richard Bradford Nestor Carbonell Enrique Murciano Dominik Garc\u00eda-Lorido,cuba fidel castro che guevara,Andy Garc\u00eda
3141,Next Friday,Comedy,Ice Cube Mike Epps Justin Pierce John Witherspoon Don Curry,prison repayment gang war boy gang revenge,Steve Carr
3142,American Heist,Action,Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette,brother brother relationship robbery bank,Sarik Andreasyan
3143,You Only Live Twice,Action Thriller Adventure,Sean Connery Akiko Wakabayashi Karin Dor Mie Hama Tetsur\u014d Tamba,london england japan england assassination helicopter,Lewis Gilbert
3144,Plastic,Drama Action Comedy Crime,Ed Speleers Will Poulter Alfie Allen Sebastian de Souza Emma Rigby,,Julian Gilbey
3145,Amour,Drama Romance,Emmanuelle Riva Jean-Louis Trintignant Isabelle Huppert William Shimell Rita Blanco,nurse music teacher aging daughter music,Michael Haneke
3146,Poltergeist III,Horror Thriller,Tom Skerritt Nancy Allen Heather O'Rourke Lara Flynn Boyle Kipley Wentz,chicago religion and supernatural supernatural powers devil demon,Gary Sherman
3147,Re-Kill,Horror Science Fiction,Roger Cross Scott Adkins Daniella Alonso Bruce Payne Jesse Garcia,reality tv conspiracy zombie zombie apocalypse,Valeri Milev
3148,"It's a Mad, Mad, Mad, Mad World",Action Adventure Comedy Crime,Spencer Tracy Milton Berle Sid Caesar Buddy Hackett Mickey Rooney,competition prison california chase humor,Stanley Kramer
3149,Volver,Comedy Drama Romance,Pen\u00e9lope Cruz Carmen Maura Lola Due\u00f1as Blanca Portillo Yohana Cobo,child abuse rape fire sexual abuse madrid,Pedro Almod\u00f3var
3150,Heavy Metal,Animation Science Fiction,Rodger Bumpass Jackie Burroughs Joe Flaherty Harold Ramis John Candy,flying car taxi heavy metal cult favorite midnight movie,Gerald Potterton
3151,Gentlemen Broncos,Action Comedy Thriller,Michael Angarano Sam Rockwell Clive Revill Jemaine Clement Jennifer Coolidge,writing plagiarism independent film homeschooling aftercreditsstinger,Jared Hess
3152,Richard III,Drama War,Ian McKellen Annette Bening Jim Broadbent Kristin Scott Thomas Adrian Dunbar,england shakespeare kidnapping murder king,Richard Loncraine
3153,Into the Grizzly Maze,Action Horror Thriller,James Marsden Thomas Jane Piper Perabo Scott Glenn Michaela McManus,grizzly bear wilderness forest alaska survival,David Hackl
3154,Kites,Drama Action Romance,Hrithik Roshan B\u00e1rbara Mori Kabir Bedi Kangana Ranaut Nicholas Brown,,Anurag Basu
3155,Melancholia,Drama Science Fiction,Kirsten Dunst Charlotte Gainsbourg Kiefer Sutherland Charlotte Rampling John Hurt,wedding reception power outage destruction of planet wedding toast,Lars von Trier
3156,Red Dog,Drama Comedy Family,Josh Lucas Rachael Taylor Rohan Nichol Luke Ford Arthur Angel,1970s human animal relationship australia grief search,Kriv Stenders
3157,Jab Tak Hai Jaan,Drama Romance,Shah Rukh Khan Katrina Kaif Anushka Sharma Anupam Kher Bindal Parikh,bollywood fall in love,Yash Chopra
3158,Alien,Horror Action Thriller Science Fiction,Tom Skerritt Sigourney Weaver Veronica Cartwright Harry Dean Stanton John Hurt,android countdown space marine space suit beheading,Ridley Scott
